slide_number,slide_title,claim_or_value,displayed_value,source_value,difference,source_path,status,notes
21,Temporary-CSI Results OOS,Small alpha,+0.55pp,+0.63pp,-0.08pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,mismatch,"Source is 0.6256pp."
21,Temporary-CSI Results OOS,Sharpe and Max DD table values,displayed table values,current OOS rows round to displayed values except stale benchmark cases,n/a,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/*/index_performance_gross_and_net_by_tc.csv,rounding_match,"Risk values broadly source-backed at one/two decimals."
22,Permanent-CSI Results OOS,Total alpha,+0.26pp,+0.27pp,-0.01pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,stale_value_suspected,"Source is 0.2659pp."
22,Permanent-CSI Results OOS,Large alpha,+0.22pp,+0.23pp,-0.01pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,stale_value_suspected,"Source is 0.2291pp."
22,Permanent-CSI Results OOS,Mid alpha,+0.62pp,+0.74pp,-0.12pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,mismatch,"Source is 0.7387pp."
22,Permanent-CSI Results OOS,Small alpha,+0.24pp,+0.32pp,-0.08pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv,mismatch,"Source is 0.3213pp."
22,Permanent-CSI Results OOS,Mid benchmark geo return,9.7%,9.5383%,+0.16pp,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,stale_value_suspected,"Source rounds closer to 9.5 at one decimal."
23,Where Does the Alpha Come From?,Total attribution row,+0.08/-2.03/+1.79/-0.01/+0.59/+0.42,"+0.0836/-2.0288/+1.7897/-0.0116/+0.5868/+0.4197",rounding only,05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv,rounding_match,"Temporary CSI OOS selected total row at 10 bps."
23,Where Does the Alpha Come From?,Large attribution row,+0.00/-1.50/+1.24/-0.01/+0.41/+0.14,"-0.0003/-1.5022/+1.2397/-0.0146/+0.4159/+0.1385",rounding only,05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv,rounding_match,"Temporary CSI OOS selected large row at 10 bps."
23,Where Does the Alpha Come From?,Mid attribution row,-0.00/+0.05/+0.27/-0.11/+0.18/+0.39,"-0.0018/+0.0500/+0.2742/-0.1145/+0.1844/+0.3923",rounding only,05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv,rounding_match,"Temporary CSI OOS selected mid row at 10 bps."
23,Where Does the Alpha Come From?,Small attribution row,+0.42/-4.00/+3.94/-0.09/+0.28/+0.55,"+0.4233/-4.0033/+3.9441/-0.0909/+0.2719/+0.5451",rounding only,05_Documentation/09_Epics/AE-ATTRIB_Main_Index_Attribution/AE-ATTRIB-001_config_level_attribution.csv,rounding_match,"Temporary CSI OOS selected small row at 10 bps."
24,Permanent-CSI Results Test,Total test row,13.8 -> 14.2; +0.45; 0.89 -> 1.00; -14.6 -> -12.8,"13.7460 -> 14.1928; +0.4468; 0.8887 -> 1.0016; -14.6181 -> -12.7868",rounding boundary,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,rounding_match,"Permanent CSI test raw_plus_latent Youden at 10 bps; benchmark geo is a boundary/double-rounding case."
24,Permanent-CSI Results Test,Large test row,14.2 -> 14.4; +0.26; 0.95 -> 1.04; -13.8 -> -12.2,"14.1698 -> 14.4279; +0.2581; 0.9512 -> 1.0412; -13.8196 -> -12.2191",rounding only,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,rounding_match,"Permanent CSI test raw_plus_latent Youden at 10 bps."
24,Permanent-CSI Results Test,Mid test row,13.7 -> 14.2; +0.43; 0.84 -> 0.95; -15.3 -> -13.8,"13.7293 -> 14.1560; +0.4267; 0.8398 -> 0.9457; -15.3181 -> -13.8339",rounding only,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,rounding_match,"Permanent CSI test raw_plus_latent Youden at 10 bps."
24,Permanent-CSI Results Test,Small test row,11.4 -> 12.2; +0.83; 0.58 -> 0.68; -20.1 -> -18.3,"11.3682 -> 12.1954; +0.8272; 0.5821 -> 0.6769; -20.0878 -> -18.2609",rounding only,03_Data_Output/9_TestIndexConstruction/AE-FP-DIAG-006_test_index_performance_gross_and_net_by_tc.csv,rounding_match,"Permanent CSI test raw_plus_latent Youden at 10 bps."
25,Impact of transaction costs,All active alpha values at 5/10/20 bps,see deep dive csv,see deep dive csv,rounding only,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,"Detailed per-value audit is in AE-PRES-DRAFT-VALIDATE-001_slide25_deep_dive.csv."
25,Impact of transaction costs,Winner ranking unchanged,unchanged,false winner_changed_0_to_20_bps for all selected rows,n/a,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/transaction_cost_robustness_summary.csv,exact_match,"Supports no winner change across the robustness comparison."
26,Cost Drag due to turnover,Turnover bars,10.4/13.0/105.9/85.5 and 6.8/11.5/106.2/75.7,"10.3738/13.0353/105.8556/85.4929 and 6.7995/11.5137/106.2382/75.7282",rounding only,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,"Displayed bars use best_by_track_index_cost turnover, not winner_turnover_summary_20bps."
26,Cost Drag due to turnover,Total/Large 20 bps drag at most 0.13pp,0.13pp max,0.1304pp max,rounding only,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,"Drag values are total_transaction_cost_return_drag at 20 bps."
26,Cost Drag due to turnover,Mid/Small 20 bps drag roughly 0.76-1.06pp,0.76-1.06pp,0.7573-1.0624pp,rounding only,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/best_by_track_index_cost.csv,rounding_match,"Temporary/permanent selected mid/small rows."
27,Selected Rules Are Principled,Temporary Youden mean best alpha,+0.35pp,+0.3475pp,rounding only,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/threshold_family_summary_20bps.csv,rounding_match,"20 bps temporary threshold-family summary."
27,Selected Rules Are Principled,Permanent FPR3/FPR5 mean best alpha,+0.35/+0.33pp,+0.3520/+0.3312pp,rounding only,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/threshold_family_summary_20bps.csv,rounding_match,"20 bps permanent threshold-family summary."
27,Selected Rules Are Principled,Permanent Youden mean best alpha,-0.20pp,-0.2021pp,rounding only,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/final_tables/threshold_family_summary_20bps.csv,rounding_match,"20 bps permanent threshold-family summary."
28,Sensitivity Analysis,Number of completed runs,24,24,0,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv,exact_match,"Source is temporary-CSI sensitivity evidence."
28,Sensitivity Analysis,Track described as permanent CSI,permanent-CSI iterations,temporary-CSI sensitivity source,n/a,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv,mismatch,"Material wording/source-support issue."
28,Sensitivity Analysis,Total min/max/median/main,0.02/0.23/0.10/0.06pp,0.0220/0.2259/0.0989/0.0647pp,rounding only,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv,rounding_match,"Values are temporary-CSI source values."
28,Sensitivity Analysis,Small min/max/median/main,0.03/0.66/0.18/0.38pp,0.0317/0.6619/0.1829/0.3796pp,rounding only,05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv,rounding_match,"Values are temporary-CSI source values."
