slide,page_area,item,old_value_or_text,corrected_value_or_text,source_path,reason,status
21,temporary_oos,mid_delta_pp,+0.39,+0.51,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale delta,corrected
21,temporary_oos,small_geo_return,7.7 -> 8.2,7.6 -> 8.2,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale return pair,corrected
21,temporary_oos,small_delta_pp,+0.55,+0.63,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/temporary_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale delta,corrected
22,permanent_oos,total_geo_return,13.3 -> 13.6,13.3 -> 13.5,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale return pair,corrected
22,permanent_oos,total_delta_pp,+0.26,+0.27,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale delta,corrected
22,permanent_oos,large_delta_pp,+0.22,+0.23,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/raw_plus_latent/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_raw_plus_latent/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale delta,corrected
22,permanent_oos,mid_geo_return,9.7 -> 10.3,9.5 -> 10.3,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale return pair,corrected
22,permanent_oos,mid_delta_pp,+0.62,+0.74,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/fund/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_fund/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale delta,corrected
22,permanent_oos,small_geo_return,7.7 -> 7.9,7.6 -> 7.9,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale return pair,corrected
22,permanent_oos,small_delta_pp,+0.24,+0.32,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/latent_raw/3_Modelling_Results/Necessary/permanent_csi/11c_index_revised_latent_raw/index_performance_gross_and_net_by_tc.csv,Ticket-001 audit found stale delta,corrected
25,transaction_cost_table,all_values,unchanged,unchanged,05_Documentation/09_Epics/AE-PRES-DRAFT-VALIDATE_Draft_Number_Audit/AE-PRES-DRAFT-VALIDATE-001_slide25_deep_dive.csv,Ticket-001 found slide 25 source-valid; rendered text revalidated,unchanged_revalidated
28,sensitivity_title,"Sensitivity Anaylsis: the main run is not an extreme event","Sensitivity Analysis: temporary CSI only",05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv,Corrected typo and removed permanent-CSI sensitivity implication,corrected
28,sensitivity_subtitle,"Relative geometric-return delta (pp) across 24 completed permanent-CSI C/M/T sensitivity runs per universe.","Main run versus 24 completed temporary-CSI C/M/T sensitivity runs; relative geometric-return delta (pp).",05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv,Source supports temporary CSI sensitivity only,corrected
28,sensitivity_note,"Every completed permanent-CSI C/M/T run stays positive in all four universes; sensitivity changes magnitude, not direction. The main run sits below median in Total / Large and above median in Mid / Small.","All completed temporary-CSI C/M/T runs stay positive; sensitivity changes magnitude, not sign. Main run: below median in Total/Large, above in Mid/Small. Temporary-CSI evidence only.",05_Documentation/09_Epics/AE-SENS-CHART_Sensitivity_Index_Charts/tables/universe_stability_summary.csv,Source supports temporary CSI sensitivity only and visual QA required shorter note,corrected
