slide_number,section,frame_title,start_line,end_line,current_data_result_claims,needs_update,likely_source_files,recommended_action,rationale
17,E. Index Construction,Index Construction Results: Temporary CSI Performance,872,895,frame Index Construction Results: Temporary CSI Performance | 5.9pt 6.45pt | tabcolsep 1.65pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
18,E. Index Construction,Index Construction Results: Temporary CSI -- Error Costs,899,926,"frame Index Construction Results: Temporary CSI -- Error Costs | alertblock Where the winning temporary strategies benefit | The filtered portfolios give up return through false positives, but offset this mainly through retained true-negative exposure. Small Cap has the largest return improvement and also the largest false-positive drag.",True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
19,E. Index Construction,Index Construction Results: Permanent CSI Performance,930,953,frame Index Construction Results: Permanent CSI Performance | 5.9pt 6.45pt | tabcolsep 1.65pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
20,E. Index Construction,Index Construction Results: Permanent CSI - Error Costs,957,984,"frame Index Construction Results: Permanent CSI - Error Costs | alertblock Where the winning permanent strategies benefit | Permanent CSI improves Total, Large, and Mid Cap primarily through true-negative retained exposure after absorbing removals. Small Cap remains weak because false-positive costs absorb the benefit.",True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
21,Next Steps,Next steps before the final presentation,987,1042,"The proposal lays the methodological and empirical foundation. Remaining work splits into data validation, model interpretability, an optional modeling extension, and an index-construction extension - each connected to a section already in the proposal. | MainColour Data validation [2pt] | Document residual misses [3pt]",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit,Likely needs revised June data/results refresh.
22,Appendix,Appendix A1: Recovery Buckets Across C/M/T Grid,1049,1095,frame Appendix A1: Recovery Buckets Across C/M/T Grid | 3.85pt 4.25pt | Base grid C080 _M020 _T018: stayed below M=-20,True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/5_SensitivityAnalysis/**; 07_CloudComputing/Validation/AE-SENS/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
23,Appendix,Appendix A2: Delisting and Bankruptcy Detection,1097,1117,frame Appendix A2: Delisting and Bankruptcy Detection | tabular L 4.0cm R 1.2cm R 1.2cm R 1.2cm R 1.35cm | Indicator group & CRSP firms & Detected & Rate & Positive rows followed,True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
24,Appendix,Appendix A3: Revised Annual Prevalence,1119,1164,"frame Appendix A3: Revised Annual Prevalence | tabular L 4.1cm R 1.35cm | Temporary positive label cells & 8,517",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
25,Appendix,Appendix A4: Cleaned Label Counts,1166,1193,frame Appendix A4: Cleaned Label Counts | 4.8pt 5.35pt | tabcolsep 2.0pt,True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
26,Appendix,Appendix A5: Descriptive Statistics -- Market Cap,1195,1224,"frame Appendix A5: Descriptive Statistics -- Market Cap | 5.7pt 6.25pt | Market cap, USD millions",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
27,Appendix,Appendix A6: Descriptive Statistics -- Other Medians,1226,1253,frame Appendix A6: Descriptive Statistics -- Other Medians | 5.55pt 6.1pt | tabcolsep 2.6pt,True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
28,Appendix,"Appendix A7: CV Folds, Leakage Controls, and Training Metric",1255,1284,"frame Appendix A7: CV Folds, Leakage Controls, and Training Metric | tabular R 0.55cm L 3.0cm L 5.7cm | 1 & Initial training block & No validation; used to seed expanding window",True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
29,Appendix,Appendix A8: Feature Family Inventory,1286,1302,"frame Appendix A8: Feature Family Inventory | tabular L 3.0cm L 7.5cm | Market and price & Returns, drawdowns, volatility, momentum, market capitalization, price-path information.",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
30,Appendix,Appendix A9: VAE Architecture Details,1304,1321,"frame Appendix A9: VAE Architecture Details | tabular L 3.2cm L 7.2cm | Encoder & n _features 256 128 64 z _mean,z _log _var",True,03_Data_Output/1_Descriptive_Statistics/Necessary/**; AE-PANEL docs if present; 03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
31,Appendix,Appendix A10: AutoGluon Results for Temporary CSI,1323,1379,frame Appendix A10: AutoGluon Results for Temporary CSI | arraystretch 0.78 | tabcolsep 3.5pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
32,Appendix,Appendix A11: XGBoost Results for Temporary CSI,1381,1437,frame Appendix A11: XGBoost Results for Temporary CSI | arraystretch 0.78 | tabcolsep 3.5pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
33,Appendix,Appendix A12: XGBoost Results for Permanent CSI,1439,1495,frame Appendix A12: XGBoost Results for Permanent CSI | arraystretch 0.78 | tabcolsep 3.5pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
34,Appendix,Appendix A13: AutoGluon Results for Permanent CSI,1497,1553,frame Appendix A13: AutoGluon Results for Permanent CSI | arraystretch 0.78 | tabcolsep 3.5pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
35,Appendix,Appendix A14: Index Strategy Construction,1555,1586,frame Appendix A14: Index Strategy Construction | Benchmark: unfiltered market-cap-weighted index for each CRSP-like universe. | Temporary CSI: score triggers finite exclusions; firms can re-enter after lockout expiry.,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
36,Appendix,Appendix A15: Temporary CSI Index Results - Test,1588,1628,frame Appendix A15: Temporary CSI Index Results - Test | 4.65pt 5.05pt | tabcolsep 1.35pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
37,Appendix,Appendix A16: Temporary CSI Index Results -- Test-OOS,1630,1670,frame Appendix A16: Temporary CSI Index Results -- Test-OOS | 4.65pt 5.05pt | tabcolsep 1.35pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
38,Appendix,Appendix A17: Permanent CSI Index Results -- Test,1672,1712,frame Appendix A17: Permanent CSI Index Results -- Test | 4.65pt 5.05pt | tabcolsep 1.35pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
39,Appendix,Appendix A18: Permanent CSI Index Results -- Test-OOS,1714,1754,frame Appendix A18: Permanent CSI Index Results -- Test-OOS | 4.65pt 5.05pt | tabcolsep 1.35pt,True,03_Data_Output/6_ModelSuite/**; 07_CloudComputing/Validation/AE-MODEL-SUITE/**; 03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/**; 07_CloudComputing/Validation/AE-INDEX-SUITE/**,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
40,Appendix,Appendix A19: Validation Caveats and Unresolved Issues,1756,1771,Primarily narrative/transition; no explicit quantitative claim detected.,True,May baseline / narrative review,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
41,Appendix,Appendix A20: Source Crosswalk,1773,1791,Primarily narrative/transition; no explicit quantitative claim detected.,True,May baseline / narrative review,edit_or_move_to_appendix,Appendix result tables likely need source refresh or pruning.
42,Appendix,Bibliography,1793,1797,"frame[allowframebreaks] Bibliography | Altman1968,Campbell2008,Cembalest2014,Penman2018,Shumway1997,Shumway2001,Tewari2024",False,May baseline / narrative review,retain,No result update required; update only if citations change.
