example_type,title,run_id,universe,metric_summary,index_summary,mechanism_channel,source_path
turnover_cost_channel,Highest transaction-cost grid turnover observed,,mid_cap,model=latent_raw; rule=youden_1yr; track=dynamic_csi,annualized gross turnover=1.157; 20bps return loss=0.250pp; alpha_20bps=-0.072pp,"Turnover affects net return, especially in smaller universes, but transaction-cost variation is small relative to classification/timing effects.",03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/transaction_cost_impact.csv
turnover_cost_channel,Largest 20bps return loss observed,,mid_cap,model=latent_raw; rule=youden_1yr; track=dynamic_csi,20bps return loss=0.250pp; annualized gross turnover=1.157,Even the largest transaction-cost drag is modest compared with differences induced by classification and rule choice.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/transaction_cost_impact.csv
error_cost_channel,Error-cost decomposition for AP winner total-market rule,C060_M000_T012,total_market,true_positive weight=0.003; false_positive weight=0.007; false_negative weight=0.021; true_negative weight=0.637,true_positive=0.047pp; false_positive=-0.197pp; false_negative=-0.008pp; true_negative=0.170pp,"Portfolio contribution depends on which confusion groups carry portfolio weight and return impact, not only on label ranking.",03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_error_cost_summary.csv
error_cost_channel,Error-cost decomposition for alpha winner total-market rule,C090_M020_T018,total_market,true_positive weight=0.001; false_positive weight=0.067; false_negative weight=0.000; true_negative weight=0.600,true_positive=0.063pp; false_positive=-1.084pp; false_negative=-0.003pp; true_negative=0.998pp,"Portfolio contribution depends on which confusion groups carry portfolio weight and return impact, not only on label ranking.",03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_error_cost_summary.csv
error_cost_channel,Error-cost decomposition for main run total-market rule,C080_M020_T018,total_market,true_positive weight=0.002; false_positive weight=0.070; false_negative weight=0.001; true_negative weight=0.596,true_positive=0.106pp; false_positive=-1.196pp; false_negative=-0.009pp; true_negative=0.937pp,"Portfolio contribution depends on which confusion groups carry portfolio weight and return impact, not only on label ranking.",03_Data_Output/5_SensitivityAnalysis/05_comparisons/full_grid_error_cost_summary.csv
model_family_channel,Best model family at 20bps for dynamic_csi total_market,,total_market,track=dynamic_csi; model=fund; rule=youden_3yr,alpha=0.423pp; Sharpe=0.634; turnover=0.104,Feature family choice changes portfolio impact; the best model metric family is not automatically the best index family.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv
model_family_channel,Best model family at 20bps for dynamic_csi large_cap,,large_cap,track=dynamic_csi; model=fund; rule=youden_3yr,alpha=0.151pp; Sharpe=0.676; turnover=0.130,Feature family choice changes portfolio impact; the best model metric family is not automatically the best index family.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv
model_family_channel,Best model family at 20bps for dynamic_csi mid_cap,,mid_cap,track=dynamic_csi; model=fund; rule=fpr5_5yr,alpha=0.508pp; Sharpe=0.419; turnover=1.059,Feature family choice changes portfolio impact; the best model metric family is not automatically the best index family.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv
model_family_channel,Best model family at 20bps for dynamic_csi small_cap,,small_cap,track=dynamic_csi; model=raw_plus_latent; rule=youden_3yr,alpha=0.615pp; Sharpe=0.328; turnover=0.855,Feature family choice changes portfolio impact; the best model metric family is not automatically the best index family.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv
model_family_channel,Best model family at 20bps for permanent_csi total_market,,total_market,track=permanent_csi; model=raw_plus_latent; rule=fpr5_permanent,alpha=0.266pp; Sharpe=0.614; turnover=0.068,Feature family choice changes portfolio impact; the best model metric family is not automatically the best index family.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv
model_family_channel,Best model family at 20bps for permanent_csi large_cap,,large_cap,track=permanent_csi; model=raw_plus_latent; rule=fpr5_permanent,alpha=0.230pp; Sharpe=0.670; turnover=0.115,Feature family choice changes portfolio impact; the best model metric family is not automatically the best index family.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv
model_family_channel,Best model family at 20bps for permanent_csi mid_cap,,mid_cap,track=permanent_csi; model=fund; rule=fpr5_permanent,alpha=0.739pp; Sharpe=0.431; turnover=1.062,Feature family choice changes portfolio impact; the best model metric family is not automatically the best index family.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv
model_family_channel,Best model family at 20bps for permanent_csi small_cap,,small_cap,track=permanent_csi; model=latent_raw; rule=fpr3_permanent,alpha=0.322pp; Sharpe=0.312; turnover=0.757,Feature family choice changes portfolio impact; the best model metric family is not automatically the best index family.,03_Data_Output/7_IndexConstructionValidation/nonraw_index_suite/comparison/model_family_comparison.csv
